"measurement_type" "activity_label" "feature" "axis" "average"
"std" "walking" "fBodyGyro" "Z" -0.410569112536585
"std" "walking" "tBodyAcc" "X" -0.314644454310285
"std" "walking" "tBodyAcc" "Y" -0.0235829464260859
"std" "walking" "tBodyAcc" "Z" -0.2739207990668
"std" "walking" "tBodyAccJerk" "X" -0.267288163330981
"std" "walking" "tBodyAccJerk" "Y" -0.103141139217389
"std" "walking" "tBodyAccJerk" "Z" -0.479147120981986
"std" "walking" "tBodyAccJerkMag" NA -0.214555894362491
"std" "walking" "tBodyAccMag" NA -0.33775398556687
"std" "walking" "tBodyGyro" "X" -0.469914839340418
"std" "walking" "tBodyGyro" "Y" -0.347921806314175
"std" "walking" "tBodyGyro" "Z" -0.338448612532172
"std" "walking" "tBodyGyroJerk" "X" -0.37622140274036
"std" "walking" "tBodyGyroJerk" "Y" -0.512619067859872
"std" "walking" "tBodyGyroJerk" "Z" -0.447427245411672
"std" "walking" "tBodyGyroJerkMag" NA -0.498841024689745
"std" "walking" "tBodyGyroMag" NA -0.382629015979094
"std" "walking" "tGravityAcc" "X" -0.977612074494773
"std" "walking" "tGravityAcc" "Y" -0.966903875917538
"std" "walking" "tGravityAcc" "Z" -0.954597565156794
"std" "walking" "tGravityAccMag" NA -0.33775398556687
"std" "walking_downstairs" "fBodyAcc" "X" 0.121937984843535
"std" "walking_downstairs" "fBodyAcc" "Y" -0.0082336714233357
"std" "walking_downstairs" "fBodyAcc" "Z" -0.245872896782916
"std" "walking_downstairs" "fBodyAccJerk" "X" -0.0821905158144886
"std" "walking_downstairs" "fBodyAccJerk" "Y" -0.091416460479564
"std" "walking_downstairs" "fBodyAccJerk" "Z" -0.443554664639787
"std" "walking_downstairs" "fBodyAccMag" NA -0.0754251669550853
"std" "walking_downstairs" "fBodyBodyAccJerkMag" NA -0.0422714225290824
"std" "walking_downstairs" "fBodyBodyGyroJerkMag" NA -0.486442976081671
"std" "walking_downstairs" "fBodyBodyGyroMag" NA -0.361230992213905
"std" "walking_downstairs" "fBodyGyro" "X" -0.375127467913848
"std" "walking_downstairs" "fBodyGyro" "Y" -0.36185368284522
"std" "walking_downstairs" "fBodyGyro" "Z" -0.38040999928478
"std" "walking_downstairs" "tBodyAcc" "X" 0.100766330932127
"std" "walking_downstairs" "tBodyAcc" "Y" 0.0595486228783642
"std" "walking_downstairs" "tBodyAcc" "Z" -0.190804507442162
"std" "walking_downstairs" "tBodyAccJerk" "X" -0.0338826468930654
"std" "walking_downstairs" "tBodyAccJerk" "Y" -0.0736744063550434
"std" "walking_downstairs" "tBodyAccJerk" "Z" -0.388666069444772
"std" "walking_downstairs" "tBodyAccJerkMag" NA -0.011220665881458
"std" "walking_downstairs" "tBodyAccMag" NA 0.116488914352198
"std" "walking_downstairs" "tBodyGyro" "X" -0.333817475057255
"std" "walking_downstairs" "tBodyGyro" "Y" -0.339631376954339
"std" "walking_downstairs" "tBodyGyro" "Z" -0.272809910672304
"std" "walking_downstairs" "tBodyGyroJerk" "X" -0.38268977198606
"std" "walking_downstairs" "tBodyGyroJerk" "Y" -0.465943810555121
"std" "walking_downstairs" "tBodyGyroJerk" "Z" -0.326455992480064
"std" "walking_downstairs" "tBodyGyroJerkMag" NA -0.440929331631124
"std" "walking_downstairs" "tBodyGyroMag" NA -0.251427800988919
"std" "walking_downstairs" "tGravityAcc" "X" -0.949748838733997
"std" "walking_downstairs" "tGravityAcc" "Y" -0.934266078534851
"std" "walking_downstairs" "tGravityAcc" "Z" -0.912460554516358
"std" "walking_downstairs" "tGravityAccMag" NA 0.116488914352198
"std" "walking_upstairs" "fBodyAcc" "X" -0.218887990072578
"std" "walking_upstairs" "fBodyAcc" "Y" -0.0218110366534067
"std" "walking_upstairs" "fBodyAcc" "Z" -0.146601790497137
"std" "walking_upstairs" "fBodyAccJerk" "X" -0.388992761276127
"std" "walking_upstairs" "fBodyAccJerk" "Y" -0.357632925658886
"std" "walking_upstairs" "fBodyAccJerk" "Z" -0.661590843134715
"std" "walking_upstairs" "fBodyAccMag" NA -0.361753456901554
"std" "walking_upstairs" "fBodyBodyAccJerkMag" NA -0.434206731972435
"std" "walking_upstairs" "fBodyBodyGyroJerkMag" NA -0.703083532121114
"std" "walking_upstairs" "fBodyBodyGyroMag" NA -0.381406363802979
"std" "walking_upstairs" "fBodyGyro" "X" -0.49525397668763
"std" "walking_upstairs" "fBodyGyro" "Y" -0.29318182767215
"std" "walking_upstairs" "fBodyGyro" "Z" -0.292041341940868
"std" "walking_upstairs" "tBodyAcc" "X" -0.237989747950635
"std" "walking_upstairs" "tBodyAcc" "Y" -0.0160325123253303
"std" "walking_upstairs" "tBodyAcc" "Z" -0.175449700484728
"std" "walking_upstairs" "tBodyAccJerk" "X" -0.360863432417876
"std" "walking_upstairs" "tBodyAccJerk" "Y" -0.339226496686328
"std" "walking_upstairs" "tBodyAccJerk" "Z" -0.627063649764249
"std" "walking_upstairs" "tBodyAccJerkMag" NA -0.385400351575259
"std" "walking_upstairs" "tBodyAccMag" NA -0.249875157023391
"std" "walking_upstairs" "tBodyGyro" "X" -0.46760713827921
"std" "walking_upstairs" "tBodyGyro" "Y" -0.344231806672079
"std" "walking_upstairs" "tBodyGyro" "Z" -0.237136760675842
"std" "walking_upstairs" "tBodyGyroJerk" "X" -0.553132758357837
"std" "walking_upstairs" "tBodyGyroJerk" "Y" -0.667339157124352
"std" "walking_upstairs" "tBodyGyroJerk" "Z" -0.560989210937073
"std" "walking_upstairs" "tBodyGyroJerkMag" NA -0.666836734071891
"std" "walking_upstairs" "tBodyGyroMag" NA -0.337142124176179
"std" "walking_upstairs" "tGravityAcc" "X" -0.948191332253886
"std" "walking_upstairs" "tGravityAcc" "Y" -0.925549271962435
"std" "walking_upstairs" "tGravityAcc" "Z" -0.901905618180052
"std" "walking_upstairs" "tGravityAccMag" NA -0.249875157023391
